baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbol,rank_DESEQ
3972.64432,1.08445627,0.30720028,3.5301279,0.00041536,0.00579625,S100A9,269
5264.45216,0.57208411,0.16211547,3.52886815,0.00041734,0.00581622,TMEM134,270
1583.90099,0.8816675,0.24993419,3.52759857,0.00041935,0.00583019,CENPW,271
1724.93747,1.07502307,0.30477887,3.52722313,0.00041994,0.00583148,POU4F3,272
6405.48789,0.66582218,0.18893224,3.52413219,0.00042487,0.00587184,S1PR3,273
5065.88536,0.54821963,0.15558659,3.52356598,0.00042578,0.0058774,SPAG11A,274
1338.8187,0.63164883,0.17958344,3.51730009,0.00043596,0.00600364,CHMP2A,275
1374.55968,0.6839458,0.19480037,3.51100872,0.00044641,0.00612573,ECT2,276
1427.18183,0.77763276,0.22161163,3.50898889,0.00044981,0.00616516,IFRD2,277
2137.92484,1.65700926,0.47238118,3.50778005,0.00045186,0.00617865,PWP1,278
2144.62943,0.74661565,0.21327704,3.50068459,0.00046406,0.00630835,MS4A3,279
1116.21198,0.85774697,0.24524101,3.4975675,0.00046952,0.00636794,FANCC,280
3103.54989,0.6283424,0.17976933,3.49527024,0.00047358,0.00639281,TOR1AIP2,281
3494.61008,0.84768147,0.24297885,3.48870471,0.00048537,0.00652911,MRFAP1L1,282
1205.14382,0.76424262,0.21942109,3.48299532,0.00049584,0.00664685,HCFC2,283
3797.03936,0.42813998,0.12301511,3.4803854,0.00050069,0.0067042,KLK1,284
730.086801,1.09224004,0.31394459,3.47908546,0.00050313,0.00671843,C1D,285
11205.378,0.51404318,0.14779097,3.4781773,0.00050484,0.00672092,CSF3,286
1235.49934,0.95896519,0.27598206,3.47473745,0.00051135,0.00679211,CLIC1,287
6044.70688,1.42764938,0.41093624,3.47413843,0.0005125,0.00679951,CDA,288
1311.31492,0.70648089,0.20383145,3.46600528,0.00052825,0.00698461,PCP2,289
2978.17769,0.66862299,0.19300917,3.46420323,0.0005318,0.00701559,MRPS12,290
3107.40881,0.57851294,0.16722626,3.45946232,0.00054125,0.00712407,SKAP1,291
2885.66604,0.61746061,0.1787307,3.45469805,0.00055091,0.00724293,GPATCH11,292
2860.39445,1.04285371,0.30208984,3.45213103,0.00055618,0.00730392,MORN4,293
1387.49246,0.88558948,0.25673321,3.44945425,0.00056172,0.00733041,GPNMB,294
3521.29292,0.61397613,0.1780717,3.44791523,0.00056493,0.00734411,C5orf24,295
2594.69687,0.56913814,0.16525942,3.44390745,0.00057337,0.00741423,PGS1,296
1820.44282,0.65158404,0.18924504,3.44307063,0.00057515,0.00741878,TRIM74,297
1494.61684,0.58504894,0.16996566,3.44215962,0.00057709,0.00742788,SSX3,298
2916.15405,0.51282222,0.14917391,3.43774747,0.00058657,0.0075125,ANXA9,299
2855.28752,0.63389084,0.18441753,3.43725921,0.00058763,0.00751303,DUPD1,300
3018.68651,0.61367354,0.17856681,3.43666073,0.00058893,0.00752043,DCUN1D3,301
